Date,Description,Amount,Category
08/06/2019,Stevens PLC,2234.45,Merchandise & Supplies-Internet Purchase
01/27/2008,Chung Inc,-1340.31,Transportation-Parking Charges
11/02/2009,"Ortega, Holland and Flores",-1710.46,Entertainment-Associations
10/19/1988,Hull Group,-4088.47,Business Services-Office Supplies
10/14/1977,"Griffin, Moore and Moore",-789.99,Transportation-Fuel
07/18/1991,Ramos-Reyes,3248.18,Merchandise & Supplies-Wholesale Stores
06/15/2014,Rice Inc,1988.7,Other-Miscellaneous
01/16/1977,"Ramirez, Stephenson and Simpson",-3370.52,Merchandise & Supplies-Furnishing
12/28/1988,Marshall-Hart,-3675.55,Merchandise & Supplies-Pharmacies
02/08/2018,Wilkerson LLC,-3676.2,Merchandise & Supplies-General Retail
10/09/1994,"Hansen, Chang and Garcia",-981.9,Entertainment-General Attractions
03/04/2020,"Cooper, Gonzalez and Graham",4610.28,Merchandise & Supplies-Department Stores
09/23/1996,"Gay, Horton and Woods",-1715.52,Merchandise & Supplies-General Retail
10/02/1991,Allison PLC,-1109.22,Merchandise & Supplies-Wholesale Stores
07/30/2004,Cobb and Sons,-2423.68,Merchandise & Supplies-General Retail
08/07/1985,"Wilson, Marquez and Sharp",4586.5,Other-Charities
04/25/2005,"Tran, Myers and Arnold",-1716.74,Business Services-Internet Services
06/16/1998,"Mason, Murray and Keller",4743.34,Restaurant-Bar & Café
03/09/2001,Bright-Mejia,-1159.0,Merchandise & Supplies-Book Stores
12/21/2007,Krueger and Sons,-2203.5,Merchandise & Supplies-Hardware Supplies
12/11/1981,Mcgee LLC,814.94,Merchandise & Supplies-Furnishing
09/05/1982,Mann Ltd,-1177.74,Merchandise & Supplies-Department Stores
10/31/1987,Hughes-Jordan,2593.93,Merchandise & Supplies-Book Stores
09/07/1971,"Morrison, Rogers and Mcdonald",847.48,Communications-Cable & Internet Comm
07/15/1981,White Inc,4453.74,Merchandise & Supplies-Furnishing
06/26/2017,Freeman Inc,687.79,Other-Charities
12/20/1989,"Potts, Anderson and Miller",-1336.79,Restaurant-Restaurant
01/06/2019,Thompson Inc,-2732.23,Merchandise & Supplies-Groceries
10/01/2020,Hall-Burns,-4364.44,Merchandise & Supplies-Groceries
12/26/1973,Cisneros PLC,2180.79,Merchandise & Supplies-Clothing Stores
10/19/1986,Hartman Group,-3142.25,Communications-Cable & Internet Comm
12/12/2018,Morgan Ltd,-3801.24,Business Services-Other Services
01/21/1994,Hernandez-Aguilar,-4865.5,Transportation-Parking Charges
10/14/2010,"Ruiz, Howard and Skinner",2229.41,Merchandise & Supplies-Pharmacies
08/02/2007,Lam-Phillips,3157.56,Merchandise & Supplies-Computer Supplies
08/29/1993,"Reed, Jacobs and Boyd",636.28,Merchandise & Supplies-Pharmacies
04/15/2007,Owens-Yang,558.72,Merchandise & Supplies-Mail Order
12/21/2022,Mcpherson-Blackwell,3345.45,Communications-Cable & Internet Comm
06/12/2010,"Gonzalez, Nelson and Hansen",3875.34,Merchandise & Supplies-Internet Purchase
02/08/2015,Collins-Brown,4496.88,Restaurant-Bar & Café
10/30/1973,Ortega LLC,4739.21,Restaurant-Restaurant
07/13/1995,Lopez-Gardner,2181.53,Merchandise & Supplies-Internet Purchase
05/18/2001,"Hawkins, Brown and Bell",2073.87,Merchandise & Supplies-Hardware Supplies
11/27/1985,Elliott LLC,-3350.34,Business Services-Professional Services
04/24/1976,Campbell Group,1471.95,Merchandise & Supplies-Internet Purchase
08/06/1971,Aguirre and Sons,-378.43,Business Services-Mailing & Shipping
08/11/2016,Garcia-Jones,-3927.22,Merchandise & Supplies-Electronics Stores
07/05/2003,"Melton, Dominguez and Snyder",-4645.82,Merchandise & Supplies-Mail Order
02/20/1998,Henderson Group,-4884.65,Business Services-Mailing & Shipping
03/06/1999,Wang and Sons,2882.13,Fees & Adjustments-Fees & Adjustments
12/12/1992,Jones Inc,2876.39,Merchandise & Supplies-Electronics Stores
08/23/1971,Jackson and Sons,-4579.03,Merchandise & Supplies-Mail Order
04/01/2006,"Flores, Cherry and Lawson",339.14,Merchandise & Supplies-Groceries
04/29/1994,"Robinson, Waters and Everett",-2580.65,Business Services-Professional Services
07/01/1994,Robinson Inc,1826.38,Transportation-Fuel
10/16/2010,"Sims, Francis and Diaz",-2370.29,Transportation-Parking Charges
09/14/1995,"Garner, Ortiz and Malone",-4407.65,Business Services-Internet Services
01/26/1973,Cowan Ltd,4934.24,Business Services-Mailing & Shipping
02/18/1979,Lee-Tran,4731.02,Restaurant-Bar & Café
11/12/1983,"Dyer, Hanna and Campbell",-3925.34,Merchandise & Supplies-Wholesale Stores
04/27/1984,"Stephens, Dixon and Thompson",-3270.37,Merchandise & Supplies-General Retail
04/05/2000,Taylor Ltd,1039.73,Merchandise & Supplies-Pharmacies
01/18/1978,"Lowe, Murray and Morales",3228.47,Merchandise & Supplies-General Retail
06/11/1998,"Maxwell, Jones and Carter",-3591.77,Merchandise & Supplies-Groceries
01/26/2007,Sanchez-Allen,3248.43,Restaurant-Bar & Café
03/09/2023,Webster-Santiago,-1298.29,Merchandise & Supplies-Department Stores
10/10/2021,Willis-Greene,-2267.89,Restaurant-Bar & Café
05/05/1980,Rice-Mcgrath,291.62,Merchandise & Supplies-Clothing Stores
03/04/1996,Turner Inc,-4073.04,Merchandise & Supplies-General Retail
06/26/2002,Coleman-Knight,-2772.88,Business Services-Other Services
05/12/1998,"Rogers, Rios and Henry",-1702.95,Merchandise & Supplies-Department Stores
01/10/2005,Simon-Clark,-4442.12,Merchandise & Supplies-Wholesale Stores
01/29/1991,Bradley-Howard,-1111.71,Merchandise & Supplies-Mail Order
11/26/1989,Prince and Sons,4287.41,Communications-Cable & Internet Comm
11/02/1979,Gomez-Maldonado,1580.53,Business Services-Internet Services
09/01/2017,Jackson-Chan,1019.17,Merchandise & Supplies-Furnishing
07/24/1978,Taylor-Torres,2650.62,Communications-Other Telecom
09/25/2009,Ward PLC,-1794.61,Business Services-Other Services
10/30/1985,"Davis, Anderson and Bryant",-4412.9,Merchandise & Supplies-Department Stores
01/08/1973,Colon PLC,4000.95,Transportation-Fuel
12/05/2018,Sullivan and Sons,-4042.6,Merchandise & Supplies-Computer Supplies
08/02/1988,Hester and Sons,-1152.14,Business Services-Internet Services
07/02/1984,Baker Inc,1463.87,Entertainment-Associations
09/28/2002,"Ortiz, Peterson and White",2069.43,Restaurant-Bar & Café
12/05/1995,Scott LLC,103.59,Merchandise & Supplies-Book Stores
09/30/2009,Yates-Mitchell,-929.65,Fees & Adjustments-Fees & Adjustments
04/19/2022,"Martinez, Rivera and Hayes",-4436.69,Merchandise & Supplies-Hardware Supplies
02/28/1993,Howard PLC,-4093.04,Business Services-Other Services
06/13/2020,Wilson-Monroe,3396.61,Transportation-Parking Charges
02/18/2022,"Peters, Jacobs and Chan",-2639.64,Merchandise & Supplies-General Retail
02/16/2008,"Hodge, Ibarra and Fischer",-708.91,Merchandise & Supplies-Book Stores
07/19/1975,Young Group,3599.13,Merchandise & Supplies-Electronics Stores
08/29/2007,"Smith, Jones and Young",3412.1,Transportation-Fuel
03/28/1983,"Davis, Patel and Taylor",-1762.74,Merchandise & Supplies-Mail Order
12/14/1986,Smith LLC,-3555.62,Entertainment-Associations
05/01/2021,"Walters, Lee and Garcia",1256.9,Merchandise & Supplies-General Retail
11/28/2011,Valencia Inc,2202.76,Merchandise & Supplies-Wholesale Stores
10/16/1990,Duncan-Holland,-1526.28,Other-Charities
09/23/1975,Baker LLC,1080.69,Merchandise & Supplies-Internet Purchase
04/03/2011,Harris and Sons,4595.6,Entertainment-General Attractions
04/08/1971,Montgomery-Walker,-1226.12,Other-Miscellaneous
06/03/1992,George-Rivera,1984.29,Merchandise & Supplies-Mail Order
10/26/2005,Henderson-Mcmillan,4336.9,Merchandise & Supplies-Hardware Supplies
08/14/1993,Moreno Ltd,-4421.67,Business Services-Office Supplies
04/08/1980,Hart Group,3610.2,Merchandise & Supplies-Book Stores
05/17/2008,White PLC,4436.3,Merchandise & Supplies-Computer Supplies
04/22/2002,Robbins-Fox,-3837.99,Merchandise & Supplies-General Retail
08/22/2011,"Stewart, Vargas and Ashley",3157.14,Entertainment-General Attractions
12/15/1999,Lopez Group,-1947.77,Merchandise & Supplies-Computer Supplies
03/20/1986,Lewis-Scott,344.46,Business Services-Mailing & Shipping
11/30/1977,"Bautista, Ryan and Stevens",-1977.43,Merchandise & Supplies-Department Stores
03/27/1991,"Oneill, Perez and Peterson",-673.81,Merchandise & Supplies-Furnishing
08/12/1993,Wilson-Morrison,-1896.63,Business Services-Office Supplies
05/07/2023,Dawson LLC,-3900.41,Restaurant-Restaurant
09/14/2014,Barrera Ltd,3987.8,Business Services-Mailing & Shipping
03/04/2018,Everett-Lutz,-3973.01,Merchandise & Supplies-Furnishing
11/17/2024,"Peterson, Waters and Meyer",1046.58,Merchandise & Supplies-Wholesale Stores
11/23/1996,Stout-Wells,-430.16,Merchandise & Supplies-Groceries
08/04/2014,Baker Ltd,-3995.33,Merchandise & Supplies-Mail Order
04/04/1980,Baker and Sons,527.84,Entertainment-Associations
10/26/2004,"Ware, George and Hawkins",-2452.22,Communications-Cable & Internet Comm
06/15/1989,"Olson, Holland and Alvarez",-4504.31,Restaurant-Restaurant
12/30/2020,Rodriguez-Rogers,586.07,Other-Miscellaneous
03/15/1985,Mitchell-Thomas,-26.55,Merchandise & Supplies-Wholesale Stores
05/04/1978,Garcia PLC,1198.84,Merchandise & Supplies-Book Stores
01/15/1970,"Anderson, Harris and Wright",-1988.0,Entertainment-General Attractions
09/03/1998,Velasquez PLC,-2591.32,Merchandise & Supplies-Mail Order
04/01/1977,Gomez Inc,-2170.08,Merchandise & Supplies-Wholesale Stores
04/10/1980,Sheppard and Sons,-2393.48,Business Services-Internet Services
06/14/1978,"Townsend, Shepherd and Hill",-3878.13,Business Services-Other Services
08/20/2009,Gallagher-Hester,2528.62,Restaurant-Bar & Café
03/23/2017,Higgins Group,-3460.82,Transportation-Fuel
07/21/1994,"Myers, Barnes and Davis",-551.03,Entertainment-General Attractions
02/18/2019,Martin-Ford,50.71,Business Services-Professional Services
09/28/2012,"Cannon, Pace and Brown",-3737.6,Merchandise & Supplies-Mail Order
02/21/2022,Wright-White,-3273.61,Merchandise & Supplies-Mail Order
03/28/1976,Garcia-Bryant,-3236.62,Entertainment-Associations
11/28/2015,"Chavez, Warren and Ortiz",48.69,Business Services-Internet Services
12/05/2002,"Rivas, Brown and Garner",-21.21,Merchandise & Supplies-Computer Supplies
05/02/2011,Johnson-Ramos,-150.2,Merchandise & Supplies-Pharmacies
01/14/2001,Mays Ltd,-172.88,Transportation-Auto Services
05/04/2003,"Mason, Leon and Allen",-3283.52,Merchandise & Supplies-Clothing Stores
06/25/2010,"Richardson, Lopez and Cross",-4806.87,Merchandise & Supplies-Book Stores
04/05/1978,Woodard LLC,-1121.67,Merchandise & Supplies-Book Stores
09/18/1993,"Richardson, Prince and Anderson",-3821.34,Entertainment-Associations
10/18/2018,Villanueva-Sullivan,-478.94,Merchandise & Supplies-Computer Supplies
09/22/2004,Lee-Williams,-4063.34,Communications-Cable & Internet Comm
06/01/2018,Moreno and Sons,1426.21,Merchandise & Supplies-Groceries
04/08/2011,Hunter LLC,-2381.75,Communications-Cable & Internet Comm
03/25/2014,Dyer Group,-745.23,Merchandise & Supplies-Groceries
11/27/1974,Williams LLC,1218.07,Merchandise & Supplies-General Retail
06/27/1980,"Hayes, Foster and Parker",-135.29,Fees & Adjustments-Fees & Adjustments
10/28/1995,"Ali, Neal and Lewis",4187.15,Merchandise & Supplies-Hardware Supplies
09/09/1972,Lopez Inc,4946.43,Other-Charities
08/26/1979,Merritt-Gordon,-2045.1,Communications-Cable & Internet Comm
08/05/1985,"Stevenson, Davenport and Richardson",-462.14,Communications-Other Telecom
11/30/2008,Morales PLC,-3151.9,Merchandise & Supplies-Internet Purchase
12/05/2002,"Allen, Woodward and Watts",-2234.49,Business Services-Professional Services
11/19/2007,"Cordova, Robinson and Donovan",-4384.25,Merchandise & Supplies-Internet Purchase
07/26/2014,"Mcknight, Adams and Dean",-378.55,Other-Miscellaneous
08/24/2007,"Anderson, Johnson and Mills",-1417.47,Merchandise & Supplies-Pharmacies
10/26/2000,Thompson-Hess,-4759.46,Transportation-Fuel
02/11/1999,"Williams, Murillo and Powell",523.58,Merchandise & Supplies-Groceries
07/12/2021,"Morgan, Frye and Mendoza",1251.43,Communications-Cable & Internet Comm
01/29/1996,"Berger, Long and Bass",245.61,Other-Charities
01/11/1992,"Goodwin, Moore and Decker",1344.81,Merchandise & Supplies-Wholesale Stores
12/01/2020,Barnett-Walker,-2451.79,Merchandise & Supplies-Electronics Stores
10/24/2019,Brooks and Sons,-2189.09,Restaurant-Restaurant
01/03/1976,"Bradford, Good and Morris",-15.89,Merchandise & Supplies-Computer Supplies
09/03/2011,"Robinson, Barnett and Wu",1584.22,Merchandise & Supplies-Groceries
09/25/2021,Hunter and Sons,-2604.42,Transportation-Auto Services
05/11/1976,Powell Ltd,1550.57,Transportation-Auto Services
09/16/1996,"Ford, Smith and Fuller",4809.22,Transportation-Fuel
12/13/1992,"Forbes, Riddle and Sloan",-2223.15,Communications-Other Telecom
05/25/1974,"French, Harris and Ross",-4938.75,Merchandise & Supplies-Electronics Stores
01/30/2007,Ewing and Sons,-1942.93,Business Services-Mailing & Shipping
05/27/1983,"Sanford, Ramirez and Mitchell",2337.74,Entertainment-Associations
10/11/2007,Larsen-Wu,3459.22,Merchandise & Supplies-Internet Purchase
02/10/2008,"Marquez, Torres and Morrison",-1771.29,Merchandise & Supplies-Electronics Stores
01/22/2008,Johnson-Smith,2139.36,Other-Charities
03/21/2022,"Norton, Price and Dunlap",-3024.93,Business Services-Mailing & Shipping
12/23/1973,"Spence, Bennett and White",1731.71,Business Services-Professional Services
09/29/2008,Bowman PLC,-2182.01,Merchandise & Supplies-Internet Purchase
07/16/1985,"Fritz, Frye and Williamson",2839.74,Transportation-Auto Services
11/20/1990,Martinez Ltd,-4374.19,Restaurant-Bar & Café
09/27/1993,Townsend-Parker,225.65,Transportation-Fuel
07/01/1995,"Tucker, Smith and Garcia",3702.76,Business Services-Other Services
01/18/2021,"Cruz, Ramirez and Bates",-1798.35,Merchandise & Supplies-Groceries
03/17/1982,Delgado-Brown,-2.14,Merchandise & Supplies-Pharmacies
05/07/2009,Wilson Ltd,-2857.72,Business Services-Internet Services
12/20/2021,Young Ltd,2039.01,Business Services-Professional Services
06/25/1981,Lowery-Adams,-1068.25,Fees & Adjustments-Fees & Adjustments
02/09/1975,Jackson-Robinson,3072.85,Merchandise & Supplies-Clothing Stores
01/29/2019,Powers and Sons,2221.82,Merchandise & Supplies-Wholesale Stores
03/12/2000,Brown-Estrada,-2744.52,Merchandise & Supplies-Department Stores
03/07/1981,Montgomery Ltd,-2323.84,Business Services-Professional Services
05/04/2014,Jimenez-Valencia,-218.74,Merchandise & Supplies-General Retail
10/19/1980,"Thomas, Mccoy and Rodriguez",-3589.85,Business Services-Other Services
02/17/2019,Holmes-Walters,1313.43,Merchandise & Supplies-Electronics Stores
07/06/1993,Berg Ltd,-2268.23,Merchandise & Supplies-Mail Order
08/29/1999,"Allison, Conrad and Schultz",3827.39,Entertainment-Associations
02/08/1985,Chapman PLC,1408.73,Merchandise & Supplies-Computer Supplies
03/01/2014,Willis Group,-3315.18,Merchandise & Supplies-Department Stores
10/04/1980,Rogers-Richardson,-4744.66,Merchandise & Supplies-Book Stores
08/18/2020,"Byrd, Carter and Martinez",1991.6,Communications-Other Telecom
03/10/1991,"Moran, Johnson and Ramos",2586.91,Merchandise & Supplies-Pharmacies
09/25/2024,Riley-Hansen,-3060.13,Merchandise & Supplies-Pharmacies
03/08/2023,Young-Rivers,2404.23,Other-Miscellaneous
07/01/2003,Tran-Matthews,-1101.85,Merchandise & Supplies-Hardware Supplies
07/29/2000,"Bailey, Castillo and Vazquez",-4482.14,Other-Charities
02/25/1974,"Larson, Brown and Brown",3792.93,Merchandise & Supplies-Pharmacies
12/08/2024,Smith LLC,3487.78,Merchandise & Supplies-General Retail
09/06/2000,Frye Inc,4786.36,Communications-Other Telecom
02/15/2005,Powell-Warner,-3277.88,Business Services-Other Services
10/15/1981,"Kennedy, Hill and Mclaughlin",-2896.55,Fees & Adjustments-Fees & Adjustments
04/24/2007,Wilson-Quinn,-2500.14,Other-Charities
12/30/1998,Anderson-Arroyo,-3824.06,Merchandise & Supplies-Pharmacies
06/30/1996,Foster LLC,1182.8,Merchandise & Supplies-Book Stores
11/14/2023,Hall-Mccullough,-1776.51,Communications-Cable & Internet Comm
04/13/1995,"Collins, Choi and Macdonald",3420.42,Fees & Adjustments-Fees & Adjustments
05/04/2016,"Anderson, Aguirre and Gutierrez",-1318.48,Merchandise & Supplies-General Retail
08/02/2016,"Schwartz, Watson and Lewis",-4349.2,Merchandise & Supplies-Wholesale Stores
06/21/1989,Castillo Inc,-3121.85,Restaurant-Restaurant
12/05/2023,Garcia-Watson,1657.82,Entertainment-General Attractions
11/11/1985,Ortiz-Cunningham,-4882.5,Merchandise & Supplies-Internet Purchase
05/09/2009,"Lara, Riley and Hall",611.4,Transportation-Auto Services
05/09/2022,Rhodes Inc,930.88,Other-Miscellaneous
03/13/2007,Taylor Group,-1756.61,Merchandise & Supplies-Book Stores
05/14/1990,Carroll Group,-1960.75,Merchandise & Supplies-Mail Order
10/18/2012,Parker Ltd,-2310.06,Merchandise & Supplies-Mail Order
03/31/1976,Barnes Ltd,1442.66,Other-Charities
06/29/2021,"Smith, Lawson and Velazquez",937.39,Other-Charities
05/01/1993,Singleton-Graham,-3248.53,Merchandise & Supplies-Book Stores
01/03/2017,Shields PLC,-2717.86,Merchandise & Supplies-Groceries
04/20/1971,Johnson-Aguilar,-2798.27,Merchandise & Supplies-Department Stores
12/26/2002,Thompson Ltd,-3110.07,Merchandise & Supplies-Pharmacies
11/16/2016,Young Group,-1813.01,Merchandise & Supplies-Groceries
02/01/1974,Morris-Freeman,4382.43,Merchandise & Supplies-Book Stores
10/12/1992,Booker-Page,4034.9,Business Services-Internet Services
12/22/1978,Reynolds Ltd,-4620.26,Transportation-Fuel
12/31/2010,Swanson LLC,-3404.86,Business Services-Office Supplies
07/22/1984,Walker Group,361.1,Merchandise & Supplies-Pharmacies
12/25/2023,"Sellers, Bennett and Thompson",2871.89,Business Services-Professional Services
04/22/2008,Hernandez-Russell,915.26,Merchandise & Supplies-Mail Order
08/29/2008,"Gonzalez, Aguilar and Martinez",317.26,Communications-Cable & Internet Comm
06/21/1985,Jenkins PLC,-2999.08,Business Services-Professional Services
08/17/1990,"Richardson, Maxwell and Sims",3219.41,Business Services-Professional Services
04/25/1993,Miller LLC,2225.71,Merchandise & Supplies-Pharmacies
06/27/2024,"Lee, Harris and Simmons",-136.04,Entertainment-General Attractions
05/15/1996,Sexton-Williams,-3415.87,Merchandise & Supplies-Computer Supplies
03/22/2021,Martin Inc,-1849.9,Merchandise & Supplies-Electronics Stores
05/04/2008,Harris Ltd,-2701.46,Communications-Other Telecom
11/24/2006,"Moyer, Chambers and Doyle",-2100.62,Merchandise & Supplies-Internet Purchase
03/18/2002,"Jones, Brooks and Cruz",-710.84,Transportation-Parking Charges
05/31/1988,Johnson Ltd,-4476.99,Business Services-Professional Services
01/15/1984,Rivera Ltd,4443.54,Merchandise & Supplies-Pharmacies
06/02/1987,"Payne, Murphy and Oconnell",2212.36,Merchandise & Supplies-Hardware Supplies
06/21/1975,Smith Inc,3475.44,Business Services-Professional Services
01/03/2009,"Thompson, Ross and Byrd",4028.41,Merchandise & Supplies-Wholesale Stores
06/16/1979,Ramos-Campbell,2889.77,Merchandise & Supplies-Electronics Stores
03/04/1977,Prince Inc,1096.14,Merchandise & Supplies-Electronics Stores
12/05/1990,Smith-Cunningham,-725.21,Business Services-Mailing & Shipping
07/28/2010,"Foley, Bautista and Clay",-4900.19,Communications-Other Telecom
05/14/1971,Lopez-Valentine,-129.2,Merchandise & Supplies-Book Stores
05/01/1984,Ashley PLC,-2442.3,Merchandise & Supplies-General Retail
09/25/2010,Rowe-Fisher,2972.9,Merchandise & Supplies-Groceries
08/23/2013,Lynch PLC,-4726.46,Merchandise & Supplies-Clothing Stores
02/23/1976,Oneill LLC,181.62,Business Services-Other Services
05/23/2020,Juarez PLC,-3159.03,Other-Miscellaneous
02/14/1973,Clark-Martin,-2317.75,Business Services-Professional Services
11/26/1990,"Romero, Franklin and Neal",3301.77,Business Services-Mailing & Shipping
09/03/1983,"King, Ortiz and Rogers",-1736.35,Merchandise & Supplies-Mail Order
08/29/1973,Anderson LLC,3547.8,Merchandise & Supplies-General Retail
08/01/2024,Gibbs-Bolton,-4459.77,Communications-Other Telecom
08/06/2020,White and Sons,1915.75,Merchandise & Supplies-Hardware Supplies
01/12/2023,Mendoza-Garcia,-935.61,Merchandise & Supplies-Computer Supplies
01/09/1977,"Miller, Brown and Howard",-3097.04,Merchandise & Supplies-Electronics Stores
07/01/1983,Taylor-Flores,-3766.95,Merchandise & Supplies-Hardware Supplies
01/25/1980,"Lee, Bender and David",164.24,Merchandise & Supplies-Groceries
04/03/2018,Brandt PLC,-4840.46,Other-Charities
07/26/1977,Strong-Harvey,2360.63,Merchandise & Supplies-Clothing Stores
12/22/1990,Andrews Inc,4890.78,Entertainment-General Attractions
10/14/1995,"Nguyen, Smith and Smith",443.81,Merchandise & Supplies-General Retail
02/02/2013,Johnston PLC,-4455.37,Fees & Adjustments-Fees & Adjustments
10/07/1997,Foster and Sons,2910.31,Merchandise & Supplies-Electronics Stores
03/13/1989,Arroyo-Reed,3048.76,Transportation-Auto Services
01/21/2020,West-Franklin,3117.37,Merchandise & Supplies-Groceries
06/07/1975,Graham-Roberson,-1538.25,Transportation-Fuel
11/10/1991,"Foley, Simpson and Weaver",-4097.48,Merchandise & Supplies-Hardware Supplies
01/02/1994,"Delgado, Mccoy and Taylor",-1420.41,Business Services-Other Services
02/13/1997,"Clark, Walker and Mcdaniel",-792.47,Merchandise & Supplies-Clothing Stores
01/31/1989,Cruz and Sons,-1596.88,Merchandise & Supplies-Book Stores
12/25/2000,Flowers Group,-467.66,Entertainment-General Attractions
06/15/1996,"Nichols, Yang and Schmidt",-1696.25,Business Services-Office Supplies
09/08/1984,House Inc,-2149.4,Merchandise & Supplies-Computer Supplies
04/21/1970,Bishop-Ward,4481.66,Merchandise & Supplies-Computer Supplies
04/11/1987,"Henderson, Arellano and Kirby",-328.56,Business Services-Internet Services
06/06/1975,Henderson-Hall,720.45,Restaurant-Restaurant
08/16/2024,Sloan-Barker,3647.67,Merchandise & Supplies-Electronics Stores
11/19/1976,"Neal, Pennington and Williamson",-3411.52,Merchandise & Supplies-Clothing Stores
07/04/2018,Patel Inc,-556.93,Merchandise & Supplies-Internet Purchase
01/06/2005,Smith Group,-4963.18,Merchandise & Supplies-Hardware Supplies
09/10/1982,Howell Group,4270.55,Merchandise & Supplies-Clothing Stores
09/29/1974,"Barton, Davis and Cantu",-2833.75,Merchandise & Supplies-Pharmacies
05/01/1996,Adams-Wiley,3379.32,Business Services-Other Services
05/01/2021,Johnson-Wilcox,4751.18,Merchandise & Supplies-Wholesale Stores
07/04/1991,"Ortega, Shea and Jones",1798.35,Business Services-Other Services
04/09/1992,Waters and Sons,4938.99,Merchandise & Supplies-Clothing Stores
05/15/1981,Johnson Group,-737.4,Other-Miscellaneous
08/06/2010,Willis Ltd,-2492.34,Merchandise & Supplies-Hardware Supplies
12/12/2008,"Pena, Strong and Singleton",2589.04,Business Services-Other Services
02/25/2024,Miller and Sons,-2279.12,Merchandise & Supplies-Wholesale Stores
05/27/1992,Walters Group,1390.03,Merchandise & Supplies-Mail Order
05/27/1972,Long Group,-579.9,Transportation-Parking Charges
07/19/1999,Strong Ltd,4322.39,Business Services-Other Services
10/01/2008,"Henry, Stephens and Dodson",948.87,Fees & Adjustments-Fees & Adjustments
09/17/2009,Bright-Mitchell,1728.58,Merchandise & Supplies-Book Stores
06/28/2012,"King, Riley and Allen",2580.55,Entertainment-General Attractions
10/22/2003,"Scott, Gomez and Ferguson",4580.45,Merchandise & Supplies-General Retail
01/10/2010,Brown-Ortega,-3632.86,Communications-Other Telecom
08/31/1978,Boyd-Drake,-917.62,Merchandise & Supplies-Pharmacies
11/19/2000,"Smith, Hill and Mendez",-666.25,Merchandise & Supplies-Furnishing
