Date,Description,Amount,Category
05/01/1987,Jones-Wise,3930.62,Communications-Other Telecom
08/28/1982,Reyes PLC,722.6,Restaurant-Bar & Café
03/09/1977,"Welch, Lester and Johnson",-2841.56,Transportation-Parking Charges
08/26/2017,"Gomez, Harris and Taylor",2068.61,Merchandise & Supplies-Wholesale Stores
05/01/1996,Johnson-Ingram,-3071.17,Other-Miscellaneous
07/03/2018,Garcia PLC,741.88,Entertainment-Associations
11/04/1980,"Petersen, Price and Bass",-1584.79,Merchandise & Supplies-Pharmacies
11/19/1983,Hunter LLC,-4220.24,Merchandise & Supplies-Mail Order
12/22/1976,Edwards PLC,1377.62,Other-Charities
08/11/1994,Edwards-Mills,3795.91,Restaurant-Restaurant
04/28/1985,Morris Group,4196.6,Merchandise & Supplies-Clothing Stores
06/12/2014,Smith-Cook,-4891.72,Business Services-Other Services
10/18/2023,Thomas-Johnson,4496.94,Business Services-Other Services
04/18/1998,Mcdonald-Calhoun,1338.43,Merchandise & Supplies-Wholesale Stores
01/26/1986,"Marquez, King and Hoover",-4104.17,Transportation-Parking Charges
12/23/1981,Davis-Miller,-3787.53,Communications-Other Telecom
09/20/1980,"Brock, Johnson and Andrews",935.96,Business Services-Internet Services
02/18/2009,"Smith, Craig and Weber",2367.21,Business Services-Mailing & Shipping
02/26/1988,"Stewart, Mason and Davis",3691.37,Transportation-Parking Charges
04/06/1998,Edwards and Sons,4829.85,Merchandise & Supplies-Mail Order
04/14/1982,"Hill, Mendoza and Jones",3824.25,Other-Charities
12/04/2013,"York, Griffith and Wilson",4054.12,Restaurant-Restaurant
04/06/2005,Nelson-Ramirez,4558.63,Business Services-Office Supplies
08/26/1992,"Armstrong, Houston and Oliver",-2964.95,Transportation-Auto Services
06/11/1978,Knight-Davis,3377.06,Entertainment-General Attractions
09/05/1981,Reyes Inc,-4944.64,Communications-Cable & Internet Comm
12/23/1973,Cox-James,3180.1,Merchandise & Supplies-Mail Order
12/07/1989,Rose-Young,-4761.54,Other-Charities
10/21/1980,"Silva, Barnes and Frederick",-4733.15,Business Services-Other Services
12/28/2020,Costa-Case,-3931.4,Fees & Adjustments-Fees & Adjustments
03/04/1974,Werner-Nicholson,3467.16,Merchandise & Supplies-Computer Supplies
07/20/2010,Smith Ltd,161.28,Business Services-Other Services
06/18/1981,"Williams, Cortez and Maynard",-4292.63,Other-Miscellaneous
11/24/1971,Bishop PLC,-3253.03,Other-Charities
02/08/1983,Williams Ltd,883.57,Business Services-Office Supplies
05/10/1991,Rodriguez-Williams,3844.34,Business Services-Office Supplies
09/24/2014,Wright-Thomas,1858.53,Business Services-Internet Services
12/12/1993,Short-Mitchell,-245.31,Merchandise & Supplies-Wholesale Stores
08/25/1989,"Brown, Riley and Reyes",3087.35,Business Services-Mailing & Shipping
05/22/1992,"Wells, Jordan and Davies",4767.23,Entertainment-General Attractions
04/06/1992,Flores-Johnson,2916.76,Merchandise & Supplies-Mail Order
06/27/1999,Munoz-Nelson,-3070.07,Restaurant-Bar & Café
06/29/2023,Stuart and Sons,-88.3,Business Services-Mailing & Shipping
08/16/2005,"Morales, Short and Smith",1470.35,Merchandise & Supplies-Internet Purchase
10/19/1992,Cortez-Coleman,-4516.52,Business Services-Office Supplies
05/09/2008,"Ashley, Horne and Ramirez",-1658.22,Entertainment-General Attractions
03/22/2012,Beltran Inc,-1054.46,Business Services-Office Supplies
12/27/2005,Lee-Lam,647.7,Merchandise & Supplies-Department Stores
09/30/2004,Kelly-Adkins,-1752.24,Fees & Adjustments-Fees & Adjustments
01/02/1982,Lam Group,-3095.67,Business Services-Internet Services
03/14/2009,"Ingram, Ibarra and Carr",4375.97,Merchandise & Supplies-Book Stores
05/25/1982,Jarvis Ltd,-761.49,Communications-Cable & Internet Comm
11/08/2019,Dunn-Kennedy,649.76,Merchandise & Supplies-Computer Supplies
06/19/1974,Fernandez LLC,2653.12,Business Services-Mailing & Shipping
07/19/1984,"Beard, Brewer and Anderson",-4853.88,Transportation-Fuel
06/14/1975,Snyder PLC,2771.93,Business Services-Internet Services
12/06/2007,Pruitt-Lee,4458.23,Other-Miscellaneous
09/12/1998,Hicks-Moore,-2852.28,Merchandise & Supplies-Computer Supplies
06/07/2018,"Jones, Miles and Cline",-2839.07,Restaurant-Bar & Café
04/15/1981,"Brown, Cohen and Myers",2577.61,Transportation-Fuel
06/19/2011,Adams-Morales,3996.83,Communications-Other Telecom
01/11/2004,Erickson-Lynch,-2723.15,Other-Miscellaneous
06/07/1995,Patel and Sons,-2582.96,Transportation-Fuel
06/28/1986,Harrison-Wells,2739.37,Business Services-Other Services
12/15/2021,Coleman LLC,-3145.56,Merchandise & Supplies-General Retail
07/12/1983,Cobb-Higgins,4331.83,Transportation-Parking Charges
01/12/1997,Reyes-Garcia,-1458.78,Merchandise & Supplies-Hardware Supplies
12/05/2012,"Nguyen, Francis and Hardy",-2704.94,Fees & Adjustments-Fees & Adjustments
11/01/1993,Preston Group,1421.86,Merchandise & Supplies-Department Stores
02/07/2018,Rojas Ltd,4677.41,Transportation-Auto Services
08/27/2002,"King, White and Soto",1394.01,Restaurant-Restaurant
10/18/1979,Love-Bradley,-1061.92,Merchandise & Supplies-Pharmacies
07/18/2017,"Mckenzie, Cunningham and Curry",4487.46,Transportation-Auto Services
08/05/1987,Livingston Inc,3746.15,Transportation-Parking Charges
11/13/1992,Smith Group,4417.2,Business Services-Professional Services
06/20/2006,"Thompson, Allen and Hutchinson",-1672.59,Communications-Other Telecom
06/10/1989,Young-Mcguire,3204.95,Transportation-Parking Charges
12/13/1990,"Peterson, Rios and Garrett",-1510.76,Business Services-Internet Services
07/29/2004,Mendez-James,4538.17,Fees & Adjustments-Fees & Adjustments
07/04/1982,Lewis-Velasquez,7.06,Merchandise & Supplies-Electronics Stores
03/12/1984,Rice-Freeman,-2048.22,Transportation-Fuel
12/31/2000,Brown Ltd,-1726.9,Business Services-Office Supplies
02/01/2008,Smith-Morris,-3799.75,Merchandise & Supplies-Computer Supplies
09/13/1984,"Harding, Lyons and Gordon",-2460.65,Merchandise & Supplies-Electronics Stores
12/30/2016,"Morton, Reed and Nelson",4280.04,Transportation-Fuel
04/19/2004,Griffith Ltd,-2073.8,Merchandise & Supplies-Computer Supplies
12/19/2004,Schmidt-Hines,-1482.97,Other-Miscellaneous
06/15/2014,"Bautista, Baker and Adkins",3250.8,Restaurant-Restaurant
01/12/1978,"Dougherty, Moreno and Acosta",1817.3,Merchandise & Supplies-Book Stores
05/21/2017,Baxter Ltd,-4622.11,Merchandise & Supplies-Pharmacies
03/27/1975,Williams-Pearson,-580.21,Business Services-Internet Services
09/22/1986,"Gibson, Brooks and Pacheco",-4562.71,Entertainment-Associations
09/28/1970,"Taylor, Phillips and Peterson",1866.83,Communications-Other Telecom
01/30/1977,"Hall, Lee and Bullock",-1064.71,Communications-Other Telecom
06/02/1992,"Scott, Richards and Weber",295.9,Entertainment-General Attractions
12/01/1998,"Miller, Rose and Gomez",4230.82,Transportation-Parking Charges
03/01/2009,"Smith, Garcia and Ayala",841.89,Merchandise & Supplies-Computer Supplies
02/14/1986,Flores-Villarreal,-1589.12,Restaurant-Bar & Café
07/14/2001,"Sanders, Gonzalez and Jefferson",-3467.66,Merchandise & Supplies-Pharmacies
06/11/1988,Chapman-Lawrence,-3975.67,Fees & Adjustments-Fees & Adjustments
03/24/2024,"Kennedy, Ibarra and Perry",-1736.59,Restaurant-Restaurant
08/03/1987,Wilson LLC,1163.67,Merchandise & Supplies-Mail Order
02/21/2001,Williams-Franklin,1125.47,Merchandise & Supplies-Furnishing
07/22/2003,Ball Inc,-4327.79,Business Services-Other Services
11/14/1984,Green-Smith,4328.87,Transportation-Auto Services
09/22/2022,Schultz-Cobb,549.49,Merchandise & Supplies-Furnishing
10/18/2002,"Simmons, Nunez and Brooks",-1683.68,Entertainment-Associations
09/14/1996,Taylor PLC,-3491.41,Merchandise & Supplies-Mail Order
10/03/1991,Fox-Knight,4762.35,Merchandise & Supplies-Wholesale Stores
01/09/1972,"Black, Velez and Henderson",-2465.9,Transportation-Fuel
07/12/2007,Meyers and Sons,-2676.81,Business Services-Mailing & Shipping
01/10/2001,Newton LLC,1153.68,Communications-Cable & Internet Comm
08/10/1974,"Baker, Jackson and Santos",-1768.78,Merchandise & Supplies-Internet Purchase
01/21/2013,Evans-Frey,2255.31,Merchandise & Supplies-Computer Supplies
05/20/2007,"Jackson, Lopez and Wright",4556.38,Merchandise & Supplies-Groceries
07/01/1981,"Nolan, Foster and Morgan",2711.19,Entertainment-Associations
09/03/1989,Houston-Cobb,2717.11,Communications-Cable & Internet Comm
02/08/1991,Martinez and Sons,1446.49,Merchandise & Supplies-General Retail
12/11/1973,"Christian, Garcia and Morrison",-2582.91,Merchandise & Supplies-Internet Purchase
05/09/1996,Jackson-Tran,3471.57,Merchandise & Supplies-Mail Order
03/08/1978,Scott LLC,3789.14,Communications-Cable & Internet Comm
09/23/1993,Cameron LLC,-1545.1,Entertainment-Associations
11/19/1980,Stokes Inc,4070.99,Merchandise & Supplies-Furnishing
06/06/1998,Mcdaniel-Brown,-3179.63,Fees & Adjustments-Fees & Adjustments
08/31/1975,Turner-Lopez,-42.3,Business Services-Internet Services
12/09/1987,Romero LLC,-777.3,Restaurant-Bar & Café
09/17/2015,Rodriguez Ltd,3616.37,Communications-Other Telecom
11/04/2021,Brown PLC,2320.17,Other-Charities
02/08/2001,Wood Ltd,3261.72,Business Services-Internet Services
04/14/2015,"Brown, King and Gilbert",-2339.45,Merchandise & Supplies-Book Stores
11/08/1995,Little and Sons,1058.38,Merchandise & Supplies-Computer Supplies
07/18/2013,"Rogers, Miller and Warner",2060.96,Restaurant-Bar & Café
01/25/1988,Perry-Roman,1246.09,Merchandise & Supplies-Internet Purchase
04/15/1991,Mejia Ltd,-94.03,Merchandise & Supplies-Computer Supplies
05/16/1998,Smith-Mccormick,-3943.13,Merchandise & Supplies-Clothing Stores
06/25/2009,Shaw Ltd,-2991.45,Other-Charities
01/11/2001,Hudson Group,4976.51,Merchandise & Supplies-Clothing Stores
05/27/1993,"Gonzales, Underwood and Phillips",4378.36,Transportation-Fuel
10/15/2013,Brady-Boyd,283.82,Merchandise & Supplies-Internet Purchase
11/29/2004,Gonzalez Group,-4792.81,Business Services-Professional Services
08/05/2001,Lucas-Howell,-2755.99,Merchandise & Supplies-Furnishing
11/19/1997,Nguyen-Mcbride,1251.27,Merchandise & Supplies-Pharmacies
02/04/1983,Smith-Larson,-1363.02,Other-Miscellaneous
06/05/2016,"Alvarez, Kent and Bell",-2816.71,Other-Miscellaneous
02/18/2013,"Rich, Warner and Jones",-3528.27,Restaurant-Bar & Café
09/23/2000,Grant-Davis,1703.79,Restaurant-Restaurant
12/03/1978,"Salazar, Price and Smith",-2973.03,Entertainment-Associations
03/16/1994,Moreno-Parker,290.68,Communications-Other Telecom
06/01/1983,"Mack, Rhodes and Mills",2380.83,Merchandise & Supplies-Hardware Supplies
03/28/2022,Vasquez-Hamilton,-3764.39,Merchandise & Supplies-Book Stores
08/20/1979,Meyer-Madden,-3215.08,Entertainment-General Attractions
01/24/1979,"Hicks, Romero and Willis",3454.56,Merchandise & Supplies-Computer Supplies
06/05/1987,Johnson Ltd,2704.51,Business Services-Internet Services
09/10/1981,"Hudson, Hill and Moon",1625.91,Merchandise & Supplies-Internet Purchase
12/10/2016,"Ewing, Collier and Garcia",-1305.62,Business Services-Office Supplies
01/03/2015,"Shannon, Simmons and Nguyen",-3754.68,Entertainment-Associations
07/05/1976,"Edwards, Brown and Brewer",4395.05,Merchandise & Supplies-Internet Purchase
09/05/2015,Bullock and Sons,-2650.11,Transportation-Fuel
08/06/1974,Hebert Inc,4406.35,Communications-Other Telecom
11/14/1988,"Edwards, Bell and Wilson",-3118.83,Merchandise & Supplies-Hardware Supplies
09/16/2024,"Gonzalez, Guzman and Garcia",-1353.61,Communications-Cable & Internet Comm
12/01/1994,Garcia-Walker,-1392.08,Business Services-Mailing & Shipping
07/23/2019,"Simmons, Ramos and Martin",2541.06,Other-Charities
09/11/1983,"Phillips, Romero and Perez",3985.42,Other-Miscellaneous
01/19/1981,Jackson-Mccullough,4191.39,Entertainment-Associations
02/24/2007,Hayden and Sons,-1958.48,Merchandise & Supplies-General Retail
08/16/2007,Rose LLC,-196.46,Transportation-Auto Services
08/03/2003,James-Nunez,2169.95,Merchandise & Supplies-Electronics Stores
03/05/2022,Parker-Kennedy,1972.4,Business Services-Professional Services
09/02/2014,Hicks-Ramirez,2295.03,Merchandise & Supplies-Book Stores
08/15/1984,Ward-Lynn,4592.09,Business Services-Professional Services
05/23/2013,"Scott, Pena and Lopez",2378.27,Other-Miscellaneous
06/12/2002,Torres LLC,6.3,Merchandise & Supplies-Department Stores
10/04/2000,"Peterson, Brooks and Shaffer",-2404.02,Business Services-Other Services
10/13/2004,Barker-Moody,-2592.47,Business Services-Other Services
10/18/2012,"Douglas, Garcia and Gonzalez",-312.74,Merchandise & Supplies-Electronics Stores
11/28/1978,Reyes-Sparks,2278.24,Restaurant-Restaurant
07/06/1989,Knight Inc,-4600.75,Other-Charities
09/10/2008,Macdonald Group,-1621.52,Transportation-Fuel
05/29/2000,Hammond-Wheeler,2307.14,Merchandise & Supplies-Internet Purchase
10/20/2021,Pratt Inc,4052.79,Business Services-Professional Services
12/18/2005,Wade-Hughes,2942.27,Merchandise & Supplies-Furnishing
04/14/1979,"Mcgrath, Adams and Bridges",-3438.92,Merchandise & Supplies-Clothing Stores
02/08/2000,Dennis and Sons,-1768.05,Merchandise & Supplies-Wholesale Stores
05/06/2016,Evans-Fletcher,-1846.55,Merchandise & Supplies-Mail Order
05/10/1988,Patterson-Garrison,4219.68,Merchandise & Supplies-Hardware Supplies
07/02/2001,Sullivan-Brown,2214.2,Merchandise & Supplies-Hardware Supplies
06/08/2010,Booth Group,3192.5,Business Services-Other Services
04/10/2022,"Ayala, Sutton and Daniels",3658.81,Business Services-Internet Services
11/18/1972,Lucero-Mason,-1145.59,Transportation-Parking Charges
06/29/1979,Anderson-Wilson,1655.41,Business Services-Mailing & Shipping
04/16/1987,Warren-Franklin,1899.06,Merchandise & Supplies-Groceries
03/24/2013,"Parker, Thompson and Austin",-772.37,Transportation-Auto Services
04/12/2002,Mitchell-Hughes,3584.86,Business Services-Mailing & Shipping
01/22/1998,"Perry, Smith and Williams",-1926.81,Entertainment-General Attractions
04/15/2018,"Rodriguez, Wheeler and Singh",4878.28,Merchandise & Supplies-Internet Purchase
08/31/2000,Moore-Turner,-446.41,Transportation-Parking Charges
01/06/1973,Berry Inc,3076.49,Merchandise & Supplies-Wholesale Stores
07/06/1974,Garcia PLC,-2591.43,Business Services-Internet Services
05/01/1982,Cruz Inc,2973.84,Merchandise & Supplies-Wholesale Stores
12/19/2023,Cantu LLC,-1510.04,Entertainment-Associations
01/02/2011,Reid-Cross,-4155.58,Merchandise & Supplies-Groceries
06/22/2018,Davis Inc,1417.31,Merchandise & Supplies-Wholesale Stores
11/30/1975,Wagner Ltd,1353.68,Merchandise & Supplies-Electronics Stores
11/16/2016,Brown-Jackson,4228.72,Fees & Adjustments-Fees & Adjustments
03/18/1974,"Brown, Norton and Hamilton",98.8,Merchandise & Supplies-Computer Supplies
03/09/1986,Marsh-Cox,-2439.48,Entertainment-Associations
11/13/2009,"Cummings, Saunders and Martinez",-702.81,Entertainment-Associations
05/15/2001,"Mathis, Richardson and Sanchez",3241.96,Merchandise & Supplies-General Retail
12/02/2011,Taylor-Mcdowell,-4825.97,Merchandise & Supplies-Book Stores
05/10/1981,Moran Inc,-3648.17,Merchandise & Supplies-Hardware Supplies
02/13/1974,Edwards-Hall,-4412.21,Restaurant-Restaurant
08/17/2022,Oconnor Inc,-2578.11,Business Services-Mailing & Shipping
05/27/2024,Peck-Henderson,-2408.1,Business Services-Professional Services
04/08/2004,Hardy-Sanders,-561.69,Merchandise & Supplies-Electronics Stores
10/06/2009,Valdez Ltd,2549.53,Entertainment-Associations
01/21/2002,Thompson-Phillips,4579.57,Other-Miscellaneous
04/04/1977,Rojas-Gregory,-985.58,Merchandise & Supplies-Groceries
07/27/2008,Parks Ltd,-1040.3,Entertainment-Associations
05/17/2016,Rivera-Horton,580.71,Merchandise & Supplies-Electronics Stores
11/11/1985,"Mann, Singh and Jennings",4244.16,Entertainment-General Attractions
01/07/1993,Jenkins-Gardner,-220.82,Communications-Cable & Internet Comm
03/22/1983,Love-Navarro,2241.1,Transportation-Parking Charges
09/21/2011,White PLC,3451.67,Merchandise & Supplies-Electronics Stores
05/25/2014,"Williams, Roy and Brown",-574.14,Business Services-Internet Services
05/08/2021,Erickson Ltd,-4840.43,Transportation-Fuel
10/14/1991,Romero-Wu,-1330.62,Merchandise & Supplies-Groceries
03/17/1990,Liu-Morris,-1512.68,Transportation-Fuel
09/18/2010,Dickson-Richards,500.05,Communications-Cable & Internet Comm
07/06/1979,Jones LLC,-3070.48,Entertainment-Associations
05/30/2013,Thomas and Sons,1971.84,Transportation-Auto Services
08/30/1980,Lopez Inc,1727.04,Merchandise & Supplies-Clothing Stores
04/24/1995,Hart Group,101.91,Transportation-Auto Services
06/08/2006,"Brooks, Cantu and Smith",-3285.89,Business Services-Office Supplies
03/03/1995,Carter LLC,-4849.17,Merchandise & Supplies-Computer Supplies
06/30/2007,"Smith, Gutierrez and Warren",2376.81,Restaurant-Restaurant
03/05/1985,Cunningham PLC,-3660.76,Merchandise & Supplies-Pharmacies
12/16/2018,Allen and Sons,-371.66,Merchandise & Supplies-Clothing Stores
09/30/1976,Hicks-Lawrence,-1831.02,Business Services-Office Supplies
03/08/2001,Lane-Mcdonald,2584.32,Merchandise & Supplies-Department Stores
05/25/2002,"Huerta, Jones and Castro",1548.65,Entertainment-General Attractions
01/16/2011,Stephens-Richardson,-4745.01,Entertainment-General Attractions
12/06/2017,Vasquez-Christensen,-2309.32,Merchandise & Supplies-Clothing Stores
04/19/2007,Ortiz PLC,-3854.12,Business Services-Mailing & Shipping
05/19/1997,"Schroeder, Parker and Blackburn",-1036.62,Communications-Other Telecom
05/12/2017,Bernard-Martinez,829.79,Entertainment-Associations
02/12/1979,Kaufman and Sons,-1782.21,Communications-Cable & Internet Comm
08/06/1978,"Carroll, Diaz and Adams",-247.8,Business Services-Other Services
07/20/1985,Marshall and Sons,2057.75,Fees & Adjustments-Fees & Adjustments
09/06/2021,Flores Group,-499.16,Business Services-Internet Services
03/14/1989,Vega-James,3495.41,Entertainment-Associations
07/15/1981,White-Thomas,4031.98,Merchandise & Supplies-Groceries
06/11/2005,"Newton, Weiss and Jones",1640.02,Other-Charities
04/22/1980,Patel and Sons,-1247.41,Merchandise & Supplies-Wholesale Stores
12/04/1976,"Bryant, Smith and Rodriguez",2520.52,Merchandise & Supplies-Computer Supplies
06/23/1997,Gordon PLC,-695.94,Merchandise & Supplies-Furnishing
12/05/2002,Coleman Inc,2491.43,Communications-Other Telecom
06/14/1972,Bates-Wolf,1891.22,Merchandise & Supplies-Internet Purchase
09/06/1970,Foley Group,-544.54,Merchandise & Supplies-Hardware Supplies
02/27/2017,"Wood, Rodriguez and Bullock",466.32,Communications-Cable & Internet Comm
02/02/1984,Rodriguez Inc,3777.06,Entertainment-General Attractions
07/04/2006,Buckley-Carter,-1158.54,Merchandise & Supplies-Computer Supplies
03/21/1979,Boyle-Odonnell,-573.32,Merchandise & Supplies-Department Stores
12/17/2019,Gutierrez PLC,826.44,Transportation-Fuel
04/19/2011,"Diaz, Brown and Harvey",4502.53,Business Services-Mailing & Shipping
05/06/1981,Woodard Inc,-769.21,Communications-Other Telecom
10/02/1990,"Reyes, Henderson and Goodman",2865.83,Business Services-Mailing & Shipping
08/15/2015,"Estrada, Garcia and Boyd",4035.64,Other-Miscellaneous
05/25/1985,Davis Inc,-4588.11,Entertainment-Associations
09/16/1972,Gilbert PLC,1148.58,Transportation-Fuel
12/23/2009,Franklin-Marsh,1644.09,Business Services-Office Supplies
03/01/1983,"Atkins, Montgomery and Mathews",-4147.98,Merchandise & Supplies-Computer Supplies
09/09/2010,Malone Group,3320.22,Business Services-Professional Services
03/01/1988,Phillips LLC,-3506.39,Merchandise & Supplies-Electronics Stores
02/01/1974,Diaz-Ochoa,3632.7,Merchandise & Supplies-Department Stores
05/29/2009,Wilson-Burton,2771.25,Other-Charities
01/10/1994,Baldwin-Shaw,2651.3,Merchandise & Supplies-Book Stores
04/17/1994,"Wilson, Patel and Miller",4787.53,Merchandise & Supplies-Book Stores
07/09/2010,Cabrera-Moran,-1734.53,Entertainment-General Attractions
05/01/2017,Chavez-Gutierrez,-1754.95,Transportation-Fuel
04/02/1972,Powell-Horn,-193.69,Merchandise & Supplies-Computer Supplies
12/13/2019,Craig-Thomas,4911.89,Restaurant-Bar & Café
07/31/1971,"Smith, Wilson and Mcgee",-1189.93,Restaurant-Restaurant
09/19/1981,"Neal, Banks and Evans",2887.27,Merchandise & Supplies-Wholesale Stores
09/01/1992,Howard LLC,919.58,Transportation-Fuel
10/12/2004,Dunn-Bell,4879.92,Business Services-Mailing & Shipping
06/25/2023,Powell PLC,3995.66,Merchandise & Supplies-Groceries
08/10/2011,Hancock PLC,1653.76,Business Services-Professional Services
05/24/2011,Lewis LLC,-4458.53,Business Services-Professional Services
11/18/1980,"Ruiz, Wolf and Martin",3562.07,Other-Charities
10/15/2019,Harrison Group,-670.65,Restaurant-Restaurant
05/11/2005,"Williams, Lopez and Rogers",-914.99,Merchandise & Supplies-Internet Purchase
09/06/1978,Woodard Inc,772.46,Restaurant-Restaurant
06/20/1970,"Romero, Drake and Moore",3393.05,Restaurant-Restaurant
08/31/2012,Dunlap Group,-243.85,Restaurant-Bar & Café
11/21/2024,Clark-Watts,3708.67,Entertainment-General Attractions
03/22/1984,Roberts Group,-4506.86,Business Services-Professional Services
12/04/1973,Nelson-Jones,-4093.13,Restaurant-Bar & Café
08/01/1991,Walker-Hughes,-2810.6,Merchandise & Supplies-Computer Supplies
12/29/1972,Fowler LLC,2696.54,Merchandise & Supplies-Furnishing
05/29/2004,"Mcdonald, Collins and Allen",-14.86,Merchandise & Supplies-Wholesale Stores
12/28/1975,"Smith, Williams and Clark",3608.24,Transportation-Fuel
09/23/1981,Rodriguez-Spence,670.65,Other-Miscellaneous
07/16/2023,"Davis, Smith and Lester",4268.54,Restaurant-Restaurant
11/06/1999,Sims-Murphy,-2895.45,Transportation-Auto Services
04/25/2007,Maldonado-Huff,4294.57,Business Services-Office Supplies
05/10/2019,"Avery, Bennett and Bush",-1989.55,Communications-Cable & Internet Comm
04/21/2014,"Berger, Thomas and Gomez",-1421.96,Merchandise & Supplies-Groceries
04/20/2011,Mcgrath-Hawkins,-2530.02,Merchandise & Supplies-Electronics Stores
05/31/2006,Smith-Weeks,-335.02,Entertainment-Associations
06/01/1999,Wood Inc,-2341.97,Restaurant-Bar & Café
01/25/2012,"Turner, Greene and Howard",4397.93,Merchandise & Supplies-Hardware Supplies
11/15/1985,"Wood, Mckee and Duffy",-720.05,Merchandise & Supplies-Book Stores
03/04/2004,Cooper Group,-1322.44,Restaurant-Bar & Café
01/01/1984,"Velazquez, Turner and Whitehead",2894.59,Transportation-Auto Services
11/12/2015,Bradley PLC,327.2,Business Services-Other Services
03/03/1987,Dixon-Flowers,2177.14,Restaurant-Bar & Café
08/21/1972,Wells-Day,3642.71,Business Services-Other Services
10/17/2006,"Simmons, Smith and Medina",3747.14,Communications-Other Telecom
07/11/1984,"Peters, Howard and Howard",2574.14,Merchandise & Supplies-Hardware Supplies
09/19/2020,Hall Ltd,698.04,Restaurant-Restaurant
12/15/1984,Moody-Moore,3708.0,Merchandise & Supplies-Mail Order
07/03/1999,Matthews-Fischer,-3852.26,Communications-Cable & Internet Comm
05/01/2017,Cochran-Elliott,1064.21,Merchandise & Supplies-Groceries
